CustomerName,CustomerID,Day,Month,Balance
Customer_9,6488,29,12,14.8
Customer_5,1714,16,8,13.0
Customer_1,6109,5,4,14.15
Customer_5,1714,4,3,-13.26
Customer_8,8911,17,4,11.82
Customer_7,8286,17,4,10.0
Customer_12,4910,23,9,11.15
Customer_3,7195,28,1,-12.69
Customer_3,7195,1,9,12.19
Customer_12,4910,25,1,10.11
Customer_10,7105,28,10,-1.73
Customer_14,3972,22,11,-4.33
Customer_6,9835,6,6,3.92
Customer_12,4910,1,2,7.29
Customer_3,7195,23,4,4.48
Customer_9,6488,9,11,-4.04
Customer_6,9835,21,5,-1.3
Customer_5,1714,8,8,7.34
Customer_6,9835,19,2,-4.36
Customer_2,8205,9,8,-3.4
Customer_6,9835,5,8,11.68
Customer_6,9835,25,3,14.46
Customer_2,8205,23,7,-0.4
Customer_9,6488,7,1,-12.29
Customer_8,8911,29,7,-9.35
Customer_15,1389,26,5,3.32
Customer_6,9835,16,1,5.88
Customer_3,7195,30,5,-3.24
Customer_15,1389,23,11,2.68
Customer_13,9200,11,1,1.65
Customer_6,9835,22,9,7.01
Customer_9,6488,25,12,4.16
Customer_12,4910,8,10,-5.34
Customer_12,4910,15,10,-1.57
Customer_10,7105,21,7,-7.63
Customer_2,8205,22,4,-7.9
Customer_8,8911,6,1,-4.95
Customer_12,4910,20,5,-10.85
Customer_11,3825,29,12,11.42
Customer_14,3972,14,4,-9.56
Customer_9,6488,19,11,-10.67
Customer_14,3972,1,3,5.91
Customer_10,7105,23,6,-12.69
Customer_14,3972,16,3,5.77
Customer_11,3825,4,4,7.23
Customer_2,8205,24,10,-14.83
Customer_10,7105,6,9,13.33
Customer_6,9835,22,9,1.49
Customer_6,9835,7,8,11.13
Customer_9,6488,14,6,2.12
